title,link,genre,rating,director,top_actors
175. Finding Neverland,/title/tt0308644/?ref_=sr_t_175,{Biography|Drama|Family},PG,Marc Forster,{Johnny Depp|Kate Winslet|Julie Christie}
176. The Great Beauty,/title/tt2358891/?ref_=sr_t_176,{Drama},Not Rated,Paolo Sorrentino,{Toni Servillo|Carlo Verdone|Sabrina Ferilli}
177. The Quiet Man,/title/tt0045061/?ref_=sr_t_177,{Comedy|Drama|Romance},Approved,John Ford,{John Wayne|Maureen O'Hara|Barry Fitzgerald}
178. Black Book,/title/tt0389557/?ref_=sr_t_178,{Drama|Thriller|War},R,Paul Verhoeven,{Carice van Houten|Sebastian Koch|Thom Hoffman}
179. Fantasia,/title/tt0032455/?ref_=sr_t_179,{Animation|Family|Fantasy},G,James Algar,{Leopold Stokowski|Deems Taylor|The Philadelphia Orchestra}
180. Mother,/title/tt1216496/?ref_=sr_t_180,{Crime|Drama|Mystery},R,Bong Joon Ho,{Kim Hye-ja|Won Bin|Jin Goo}
181. Nebraska,/title/tt1821549/?ref_=sr_t_181,{Drama},R,Alexander Payne,{Bruce Dern|Will Forte|June Squibb}
182. Breathless,/title/tt0053472/?ref_=sr_t_182,{Crime|Drama},Not Rated,Jean-Luc Godard,{Jean-Paul Belmondo|Jean Seberg|Van Doude}
183. Hamlet,/title/tt0116477/?ref_=sr_t_183,{Drama},PG-13,Kenneth Branagh,{Kenneth Branagh|Julie Christie|Derek Jacobi}
184. Porco Rosso,/title/tt0104652/?ref_=sr_t_184,{Animation|Adventure|Comedy},PG,Hayao Miyazaki,{Shûichirô Moriyama|Tokiko Katô|Bunshi Katsura VI}
185. Kubo and the Two Strings,/title/tt4302938/?ref_=sr_t_185,{Animation|Action|Adventure},PG,Travis Knight,{Charlize Theron|Art Parkinson|Matthew McConaughey}
186. Ray,/title/tt0350258/?ref_=sr_t_186,{Biography|Drama|Music},PG-13,Taylor Hackford,{Jamie Foxx|Regina King|Kerry Washington}
187. A Man for All Seasons,/title/tt0060665/?ref_=sr_t_187,{Biography|Drama|History},G,Fred Zinnemann,{Paul Scofield|Wendy Hiller|Robert Shaw}
188. Waking Life,/title/tt0243017/?ref_=sr_t_188,{Animation|Drama|Fantasy},R,Richard Linklater,{Ethan Hawke|Trevor Jack Brooks|Lorelei Linklater}
189. The African Queen,/title/tt0043265/?ref_=sr_t_189,{Adventure|Drama|Romance},PG,John Huston,{Humphrey Bogart|Katharine Hepburn|Robert Morley}
190. Key Largo,/title/tt0040506/?ref_=sr_t_190,{Action|Crime|Drama},Approved,John Huston,{Humphrey Bogart|Edward G. Robinson|Lauren Bacall}
